,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.75,0.8,0.85,0.35,0.8,0.2,0.35,0.04169275037005929,0.03752402201666148,0.01938086898079818,0.10692514026098847,0.02605520466900187,0.1202136532704678,0.09568338556192921,0.04234126984126983,0.03561507936507936,0.019642857142857142,0.10878968253968253,0.030535714285714288,0.12349206349206347,0.10087301587301586,mean
1,2,0.875,0.7,0.85,0.375,0.85,0.35,0.375,0.04169275037005929,0.09535151996426214,0.03571061449846015,0.1929656449788879,0.03906477867026108,0.19323674640567595,0.18255618666497084,0.04234126984126983,0.0955357142857143,0.038591269841269836,0.19666666666666668,0.04303571428571429,0.19666666666666668,0.18666666666666668,mean
2,3,0.9166666666666666,0.7499999999999999,0.8833333333333332,0.4833333333333333,0.8833333333333332,0.4,0.5,0.04169275037005929,0.11238433294130683,0.04598734217836463,0.23798880389924185,0.04603793009794142,0.26228929111390364,0.21879887885958405,0.04234126984126983,0.11378968253968251,0.04859126984126984,0.23880952380952386,0.04928571428571429,0.26698412698412693,0.22394841269841267,mean
3,4,0.925,0.725,0.875,0.5375,0.9,0.425,0.5375,0.04921899988817125,0.16668154359881776,0.06937909714095426,0.27929855701135237,0.051493005636264744,0.34268989273526,0.28247153330133445,0.04948412698412698,0.1732142857142857,0.07198412698412698,0.2810714285714286,0.05484126984126984,0.35071428571428576,0.2903174603174603,mean
4,5,0.93,0.7099999999999999,0.9,0.58,0.8700000000000001,0.48,0.5800000000000001,0.05548622026297865,0.2187256712244995,0.06937909714095426,0.31286842063759857,0.08616739395640506,0.3884786277755138,0.32235490935009214,0.056626984126984116,0.22555555555555556,0.07198412698412698,0.316765873015873,0.09123015873015873,0.3979166666666668,0.3299603174603175,mean
5,6,0.925,0.7416666666666666,0.9,0.6166666666666666,0.8833333333333335,0.5500000000000002,0.625,0.06787419827056966,0.23232048532394484,0.08499812351688205,0.3398479165850458,0.09534045683908034,0.4052867098068081,0.3403362565894949,0.0709126984126984,0.23894841269841266,0.08746031746031746,0.34384920634920635,0.10123015873015875,0.41416666666666674,0.34801587301587306,mean
6,7,0.9214285714285715,0.7428571428571428,0.8928571428571429,0.6642857142857143,0.892857142857143,0.5642857142857143,0.65,0.08039340002058862,0.27856031697298733,0.10590138554216644,0.3490288826971995,0.10273504428621172,0.45419449480821317,0.37151987939021947,0.08341269841269841,0.2852579365079365,0.11015873015873015,0.3538492063492063,0.10837301587301588,0.46394841269841286,0.37884920634920644,mean
7,8,0.925,0.75625,0.89375,0.6875,0.8875,0.6,0.675,0.08630314465469394,0.301020614794887,0.12229335088719925,0.3692965901513333,0.13026338072098034,0.4761953909626671,0.3930668064707438,0.0896626984126984,0.3086507936507936,0.12682539682539684,0.3756547619047619,0.13426587301587303,0.48575396825396827,0.39938492063492076,mean
8,9,0.9166666666666667,0.7666666666666668,0.9000000000000001,0.7055555555555555,0.8944444444444446,0.6166666666666667,0.6833333333333333,0.11229366091963555,0.3236102880930149,0.13144037335996267,0.39557816167358395,0.13364111219272637,0.5142371564235455,0.4298106307622169,0.11424603174603173,0.33126984126984127,0.13682539682539682,0.4002380952380952,0.1398214285714286,0.5258928571428572,0.4378571428571429,mean
9,10,0.9250000000000002,0.78,0.905,0.73,0.905,0.6400000000000001,0.71,0.11229366091963555,0.337979429576771,0.13820010006710146,0.4063618639089305,0.13364111219272637,0.5537657961207301,0.43972247939269565,0.11424603174603173,0.3467460317460318,0.14307539682539683,0.4102380952380952,0.1398214285714286,0.5651785714285713,0.44785714285714295,mean
