,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.75,0.0,0.5,0.0,0.2,0.0,0.0,0.03834115886916892,0.160978777675978,0.08497980606058145,0.1629374803989211,0.13238485676576073,0.1631275808469485,0.1611411808404577,0.03720238095238095,0.16029761904761902,0.08136904761904762,0.16029761904761902,0.13023809523809524,0.16029761904761902,0.16029761904761902,mean
1,2,0.75,0.05,0.6,0.025,0.45,0.05,0.075,0.0744131006330174,0.3055019024079605,0.1350251677651544,0.31698597401436474,0.17825115551504328,0.3041810315691319,0.2966579626453859,0.07196428571428572,0.3009523809523809,0.13113095238095238,0.3080952380952381,0.1769642857142857,0.300595238095238,0.2934523809523809,mean
2,3,0.7833333333333333,0.05,0.6333333333333333,0.11666666666666665,0.5833333333333333,0.08333333333333333,0.09999999999999999,0.10024190472370424,0.4594245597636325,0.17897019822766022,0.4284883414908453,0.20046818110662445,0.4452555764961218,0.43325902502154046,0.09696428571428571,0.45125000000000004,0.17410714285714282,0.41827380952380955,0.19869047619047617,0.43827380952380957,0.42577380952380955,mean
3,4,0.7875,0.1,0.6625,0.1625,0.6,0.075,0.1625,0.1363077035606516,0.573299435262829,0.21658202242275176,0.5312766978636095,0.25798012318734254,0.5895295879978918,0.5341272797931784,0.1332738095238095,0.5644642857142856,0.2108333333333333,0.5226785714285713,0.2550595238095238,0.5860714285714285,0.5242857142857142,mean
4,5,0.7900000000000001,0.14,0.7000000000000002,0.18000000000000005,0.67,0.13000000000000003,0.22000000000000003,0.17100749758214903,0.6834681362280952,0.23891358285576994,0.6542472712092737,0.26464849174090604,0.6829825325284126,0.6150228062403109,0.1670833333333333,0.6742857142857143,0.23136904761904759,0.6428571428571429,0.26220238095238096,0.683392857142857,0.6135714285714287,mean
5,6,0.8,0.19166666666666662,0.725,0.25,0.7166666666666668,0.24166666666666664,0.31666666666666665,0.19483626637082901,0.7644673772875553,0.2630882351792544,0.7101651316882321,0.27321524144851966,0.7158146622306856,0.6467342736166712,0.19166666666666665,0.7541666666666668,0.2551785714285714,0.7001190476190476,0.2705357142857143,0.7163095238095238,0.6436309523809524,mean
6,7,0.8214285714285712,0.24999999999999994,0.7357142857142857,0.3214285714285714,0.7357142857142858,0.3142857142857143,0.3928571428571428,0.20106561959625707,0.8228568882866714,0.2911010389150486,0.7458870279821932,0.29853609210482784,0.7518725225716216,0.6663414944545708,0.19791666666666666,0.814702380952381,0.28404761904761905,0.7364285714285715,0.2948214285714286,0.7501785714285715,0.6641666666666666,mean
7,8,0.8375,0.3,0.7625,0.4,0.75625,0.3625,0.425,0.20856111057400106,0.8739520313472307,0.29902058493318284,0.7524766937227199,0.31018356730049107,0.7965920244254845,0.7193177059646152,0.2050595238095238,0.8677976190476191,0.29238095238095235,0.7426785714285715,0.3060714285714286,0.7945238095238097,0.7163690476190475,mean
8,9,0.8500000000000002,0.3555555555555555,0.788888888888889,0.43888888888888894,0.7666666666666668,0.4222222222222222,0.4666666666666666,0.21877814914474797,0.8983466108285079,0.29902058493318284,0.7912069245974699,0.3340856995752012,0.81271248106029,0.7517662120130602,0.2150595238095238,0.8924404761904761,0.29238095238095235,0.7847619047619048,0.3306547619047619,0.809107142857143,0.7489880952380953,mean
9,10,0.8500000000000002,0.4149999999999999,0.7899999999999999,0.4800000000000001,0.7750000000000001,0.48,0.5199999999999999,0.2407761531089056,0.9045770704658802,0.32915556740465346,0.8116132139201341,0.3545093287037259,0.81271248106029,0.7517662120130602,0.2363095238095238,0.898690476190476,0.32244047619047617,0.804404761904762,0.35238095238095235,0.809107142857143,0.7489880952380953,mean
10,11,0.8545454545454543,0.4681818181818181,0.8045454545454543,0.5272727272727271,0.7863636363636364,0.5045454545454544,0.5409090909090908,0.2544303452603306,0.9045770704658802,0.3342764030624198,0.8116132139201341,0.36894296470709886,0.8592155931616539,0.7897184448530156,0.24970238095238098,0.898690476190476,0.3286904761904762,0.804404761904762,0.3669642857142857,0.8561904761904764,0.7873809523809525,mean
11,12,0.85,0.5041666666666667,0.8166666666666667,0.5625000000000001,0.7958333333333334,0.5416666666666667,0.5791666666666667,0.28468623285143285,0.9175673815799368,0.34366035492173025,0.8238863148908491,0.38776378997817884,0.8637878334822323,0.7897184448530156,0.28017857142857144,0.9141666666666668,0.3370238095238095,0.8169047619047619,0.38529761904761906,0.8611904761904764,0.7873809523809525,mean
12,13,0.8423076923076925,0.5384615384615384,0.8230769230769234,0.5807692307692307,0.803846153846154,0.5769230769230769,0.6076923076923075,0.3234762020191819,0.924101795791944,0.35817172415282317,0.8558222045443742,0.40518092137066597,0.8637878334822323,0.7968081789814035,0.3181547619047619,0.9204166666666668,0.3504166666666666,0.8478571428571428,0.4024404761904762,0.8611904761904764,0.7945238095238097,mean
13,14,0.8464285714285715,0.5714285714285714,0.8285714285714288,0.607142857142857,0.8142857142857144,0.6035714285714285,0.6357142857142856,0.3384981825224593,0.924101795791944,0.37362384795830905,0.8608338949807003,0.4136199668643396,0.8703863186273093,0.7968081789814035,0.3327380952380952,0.9204166666666668,0.36589285714285713,0.8528571428571426,0.4095833333333333,0.8683333333333334,0.7945238095238097,mean
14,15,0.8466666666666669,0.5999999999999999,0.8333333333333336,0.6266666666666665,0.8200000000000001,0.6299999999999998,0.6566666666666665,0.36023226811656645,0.924101795791944,0.3881439744247084,0.8729669634391206,0.42992160609957997,0.8703863186273093,0.8055053164661701,0.3544642857142857,0.9204166666666668,0.38047619047619047,0.8683333333333332,0.4250595238095237,0.8683333333333334,0.802857142857143,mean
15,16,0.853125,0.625,0.840625,0.65,0.828125,0.65,0.66875,0.36738442863087223,0.924101795791944,0.3983640197040744,0.8729669634391206,0.43696332328687737,0.8769207328393165,0.8318302121207612,0.36160714285714285,0.9204166666666668,0.3904761904761905,0.8683333333333332,0.43220238095238095,0.8745833333333334,0.8287500000000001,mean
16,17,0.8588235294117649,0.6470588235294116,0.8470588235294118,0.6676470588235291,0.8382352941176473,0.6647058823529409,0.6882352941176471,0.37582347412454586,0.924101795791944,0.40649675056055895,0.8800428359499575,0.43696332328687737,0.8932962928363887,0.8318302121207612,0.36875,0.9204166666666668,0.39880952380952384,0.8754761904761905,0.43220238095238095,0.8900595238095239,0.8287500000000001,mean
17,18,0.8638888888888889,0.6638888888888886,0.85,0.683333333333333,0.8472222222222223,0.6777777777777775,0.7055555555555555,0.3845892288706207,0.9320561507593375,0.42436963751306445,0.884615076270536,0.43696332328687737,0.9103277125196831,0.8318302121207612,0.3770833333333333,0.92875,0.41595238095238096,0.8804761904761905,0.43220238095238095,0.9055357142857143,0.8287500000000001,mean
18,19,0.8710526315789473,0.6815789473684211,0.8552631578947368,0.7,0.8526315789473685,0.6894736842105262,0.7184210526315788,0.3845892288706207,0.9320561507593375,0.4314593716414524,0.884615076270536,0.44461952306327196,0.9191556084241176,0.8356758156153937,0.3770833333333333,0.92875,0.4230952380952381,0.8804761904761905,0.43934523809523807,0.9188690476190476,0.8370833333333335,mean
19,20,0.8749999999999997,0.6950000000000001,0.8600000000000001,0.7099999999999997,0.8574999999999999,0.7024999999999999,0.7325,0.39395613585290495,0.9414621510426281,0.43658080988895565,0.904103170013912,0.4531100450641582,0.9281738140749839,0.8356758156153937,0.3854166666666667,0.9370833333333334,0.4280952380952382,0.9001190476190477,0.4476785714285715,0.9272023809523811,0.8370833333333335,mean
20,21,0.8761904761904763,0.7095238095238093,0.8666666666666669,0.7238095238095236,0.854761904761905,0.7166666666666666,0.7428571428571429,0.4038815060417706,0.9414621510426281,0.43658080988895565,0.904103170013912,0.4849506635508073,0.9281738140749839,0.8412819973730208,0.39666666666666667,0.9370833333333334,0.4280952380952382,0.9001190476190477,0.4794642857142858,0.9272023809523811,0.8433333333333335,mean
21,22,0.8795454545454545,0.7227272727272729,0.8704545454545454,0.7363636363636364,0.8613636363636363,0.7295454545454545,0.7522727272727273,0.41303355650179363,0.9414621510426281,0.4460103089121262,0.904103170013912,0.4849506635508073,0.9281738140749839,0.8462642897828229,0.40499999999999997,0.9370833333333334,0.43809523809523815,0.9001190476190477,0.4794642857142858,0.9272023809523811,0.8483333333333334,mean
22,23,0.882608695652174,0.7347826086956522,0.8760869565217391,0.7456521739130435,0.8630434782608696,0.741304347826087,0.7608695652173912,0.42095310251992785,0.9414621510426281,0.4460103089121262,0.9079487735085445,0.5065363430629973,0.9281738140749839,0.8508365301034015,0.4133333333333333,0.9370833333333334,0.43809523809523815,0.9084523809523809,0.5019642857142858,0.9272023809523811,0.8533333333333335,mean
23,24,0.8875,0.7458333333333332,0.8812499999999999,0.7541666666666667,0.8666666666666669,0.7520833333333333,0.7708333333333333,0.42095310251992785,0.9414621510426281,0.4460103089121262,0.9166459109933112,0.5155109685241851,0.9281738140749839,0.8508365301034015,0.4133333333333333,0.9370833333333334,0.43809523809523815,0.9167857142857143,0.5102976190476192,0.9272023809523811,0.8533333333333335,mean
24,25,0.8880000000000001,0.7560000000000002,0.884,0.764,0.8720000000000001,0.758,0.78,0.4402113989215871,0.9414621510426281,0.4543963976909753,0.9166459109933112,0.5155109685241851,0.9393675760599063,0.8508365301034015,0.4329761904761905,0.9370833333333334,0.44642857142857145,0.9167857142857143,0.5102976190476192,0.9384523809523809,0.8533333333333335,mean
25,26,0.8903846153846156,0.7653846153846156,0.8846153846153848,0.7730769230769234,0.876923076923077,0.7673076923076926,0.7884615384615387,0.4474905653073222,0.9414621510426281,0.4706786390852516,0.9166459109933112,0.5155109685241851,0.9393675760599063,0.8508365301034015,0.44011904761904763,0.9370833333333334,0.46190476190476193,0.9167857142857143,0.5102976190476192,0.9384523809523809,0.8533333333333335,mean
26,27,0.8944444444444446,0.774074074074074,0.8870370370370368,0.7796296296296299,0.8777777777777775,0.775925925925926,0.7944444444444445,0.4474905653073222,0.9414621510426281,0.4778787319069918,0.9216282034031131,0.531109323740319,0.9393675760599063,0.8558482205397275,0.44011904761904763,0.9370833333333334,0.46904761904761905,0.9217857142857143,0.5248809523809524,0.9384523809523809,0.8583333333333336,mean
27,28,0.894642857142857,0.7803571428571427,0.8910714285714286,0.7875000000000002,0.8767857142857144,0.7839285714285715,0.8,0.4609036050158597,0.9459698001010443,0.4778787319069918,0.9216282034031131,0.5553694895017569,0.9393675760599063,0.8648664261905935,0.4544047619047619,0.9454166666666666,0.46904761904761905,0.9217857142857143,0.5477976190476191,0.9384523809523809,0.8666666666666668,mean
28,29,0.8982758620689653,0.7862068965517242,0.8948275862068966,0.7948275862068963,0.8793103448275863,0.789655172413793,0.803448275862069,0.4609036050158597,0.9527880118970178,0.4778787319069918,0.9216282034031131,0.5633731568173224,0.9444884117176727,0.8807795476740307,0.4544047619047619,0.9516666666666665,0.46904761904761905,0.9217857142857143,0.5561309523809524,0.9447023809523809,0.8821428571428573,mean
29,30,0.9016666666666667,0.7916666666666669,0.8933333333333335,0.801666666666667,0.8816666666666668,0.7966666666666669,0.8066666666666669,0.4609036050158597,0.9566336153916503,0.49689478807222665,0.9216282034031131,0.5701096615928176,0.9446025473879693,0.8953063836150875,0.4544047619047619,0.96,0.48779761904761915,0.9217857142857143,0.5623809523809524,0.9447023809523809,0.8967261904761907,mean
30,31,0.9048387096774192,0.7983870967741933,0.8951612903225804,0.8048387096774192,0.8838709677419354,0.8,0.8129032258064516,0.4609036050158597,0.9566336153916503,0.5091678890429417,0.9334855438363746,0.5761901111639152,0.9566810763541559,0.8953063836150875,0.4544047619047619,0.96,0.5002976190476192,0.9342857142857144,0.5686309523809524,0.9568452380952381,0.8967261904761907,mean
31,32,0.90625,0.8046875,0.8984375,0.8109375,0.8859375,0.8046875,0.815625,0.4713143630250157,0.9566336153916503,0.5091678890429417,0.9334855438363746,0.5833946992728392,0.963893325393778,0.9118773800960371,0.4644047619047619,0.96,0.5002976190476192,0.9342857142857144,0.5757738095238095,0.9639880952380953,0.9129761904761906,mean
32,33,0.9045454545454545,0.8106060606060603,0.9015151515151514,0.8166666666666667,0.8893939393939393,0.8106060606060606,0.8212121212121211,0.4940593134785761,0.9566336153916503,0.5091678890429417,0.9334855438363746,0.5833946992728392,0.963893325393778,0.9118773800960371,0.4870238095238094,0.96,0.5002976190476192,0.9342857142857144,0.5757738095238095,0.9639880952380953,0.9129761904761906,mean
33,34,0.9044117647058825,0.8161764705882353,0.9029411764705884,0.8205882352941177,0.8911764705882353,0.8161764705882355,0.8264705882352942,0.510234031761504,0.9566336153916503,0.5184613308370831,0.9425037494872408,0.5927616062551235,0.963893325393778,0.9118773800960371,0.5025,0.96,0.5086309523809525,0.9426190476190477,0.5841071428571428,0.9639880952380953,0.9129761904761906,mean
34,35,0.9071428571428573,0.8214285714285717,0.9014285714285716,0.825714285714286,0.892857142857143,0.8214285714285715,0.8314285714285716,0.510234031761504,0.9566336153916503,0.5423614489821359,0.9425037494872408,0.6009597817866619,0.963893325393778,0.9118773800960371,0.5025,0.96,0.531547619047619,0.9426190476190477,0.5912499999999999,0.9639880952380953,0.9129761904761906,mean
35,36,0.9097222222222223,0.826388888888889,0.9041666666666666,0.8305555555555555,0.8958333333333336,0.825,0.8361111111111112,0.510234031761504,0.9566336153916503,0.5423614489821359,0.9425037494872408,0.6009597817866619,0.9713188957483243,0.9119915157663339,0.5025,0.96,0.531547619047619,0.9426190476190477,0.5912499999999999,0.9711309523809524,0.9129761904761906,mean
36,37,0.9094594594594595,0.831081081081081,0.904054054054054,0.8351351351351353,0.8986486486486485,0.8297297297297298,0.8391891891891893,0.5267394032955115,0.9566336153916503,0.556973237682134,0.9425037494872408,0.6009597817866619,0.9713188957483243,0.91941708612088,0.5196428571428571,0.96,0.5461309523809524,0.9426190476190477,0.5912499999999999,0.9711309523809524,0.9201190476190477,mean
37,38,0.911842105263158,0.8355263157894737,0.906578947368421,0.8394736842105261,0.9013157894736844,0.8342105263157892,0.843421052631579,0.5267394032955115,0.9566336153916503,0.556973237682134,0.9425037494872408,0.6009597817866619,0.9713188957483243,0.91941708612088,0.5196428571428571,0.96,0.5461309523809524,0.9426190476190477,0.5912499999999999,0.9711309523809524,0.9201190476190477,mean
38,39,0.9141025641025642,0.83974358974359,0.9076923076923078,0.8435897435897438,0.903846153846154,0.8384615384615387,0.8461538461538464,0.5267394032955115,0.9566336153916503,0.5663401446644183,0.9425037494872408,0.6009597817866619,0.9713188957483243,0.9293071957401923,0.5196428571428571,0.96,0.5544642857142857,0.9426190476190477,0.5912499999999999,0.9711309523809524,0.9301190476190477,mean
39,40,0.91625,0.84375,0.9099999999999999,0.8475000000000001,0.9062500000000002,0.8425,0.85,0.5267394032955115,0.9566336153916503,0.5663401446644183,0.9425037494872408,0.6009597817866619,0.9713188957483243,0.9293071957401923,0.5196428571428571,0.96,0.5544642857142857,0.9426190476190477,0.5912499999999999,0.9711309523809524,0.9301190476190477,mean
40,41,0.9170731707317075,0.8475609756097564,0.9121951219512197,0.851219512195122,0.9085365853658537,0.8463414634146342,0.8536585365853661,0.5370430563958701,0.9566336153916503,0.5663401446644183,0.9425037494872408,0.6009597817866619,0.9713188957483243,0.9293071957401923,0.5296428571428571,0.96,0.5544642857142857,0.9426190476190477,0.5912499999999999,0.9711309523809524,0.9301190476190477,mean
41,42,0.9190476190476191,0.8511904761904763,0.9142857142857144,0.8535714285714286,0.9095238095238095,0.85,0.8571428571428573,0.5370430563958701,0.9566336153916503,0.5663401446644183,0.9497083375961648,0.6115545157259054,0.9713188957483243,0.9293071957401923,0.5296428571428571,0.96,0.5544642857142857,0.9497619047619048,0.6012500000000001,0.9711309523809524,0.9301190476190477,mean
42,43,0.9197674418604651,0.8534883720930232,0.9151162790697673,0.8569767441860463,0.9116279069767443,0.8534883720930232,0.8604651162790697,0.5431842922059864,0.9669848683967308,0.5730085132179819,0.9497083375961648,0.6115545157259054,0.9713188957483243,0.9293071957401923,0.5358928571428571,0.97,0.5616071428571429,0.9497619047619048,0.6012500000000001,0.9711309523809524,0.9301190476190477,mean
43,44,0.9215909090909091,0.8568181818181818,0.9170454545454547,0.8602272727272726,0.9136363636363635,0.8568181818181818,0.8625,0.5431842922059864,0.9669848683967308,0.5730085132179819,0.9497083375961648,0.6115545157259054,0.9713188957483243,0.9369326151401962,0.5358928571428571,0.97,0.5616071428571429,0.9497619047619048,0.6012500000000001,0.9711309523809524,0.9372619047619049,mean
44,45,0.9222222222222223,0.8600000000000001,0.918888888888889,0.8633333333333336,0.9155555555555557,0.858888888888889,0.8655555555555559,0.5495331228873503,0.9669848683967308,0.5730085132179819,0.9497083375961648,0.6115545157259054,0.9783947682591612,0.9369326151401962,0.542142857142857,0.97,0.5616071428571429,0.9497619047619048,0.6012500000000001,0.9782738095238095,0.9372619047619049,mean
45,46,0.9228260869565219,0.8630434782608696,0.9195652173913045,0.8652173913043478,0.9173913043478258,0.8619565217391305,0.868478260869565,0.5576357968292351,0.9669848683967308,0.5806339326179858,0.9571704665395142,0.6115545157259054,0.9783947682591612,0.9369326151401962,0.5504761904761903,0.97,0.5687500000000001,0.9569047619047619,0.6012500000000001,0.9782738095238095,0.9372619047619049,mean
46,47,0.9234042553191489,0.8659574468085107,0.9202127659574468,0.8670212765957448,0.9191489361702129,0.8648936170212768,0.8712765957446809,0.5641981993070516,0.9669848683967308,0.587887753255868,0.9622919047870175,0.6115575224345245,0.9783947682591612,0.9369326151401962,0.5567261904761904,0.97,0.5758928571428572,0.9619047619047618,0.6012500000000001,0.9782738095238095,0.9372619047619049,mean
47,48,0.925,0.8677083333333332,0.921875,0.86875,0.9208333333333332,0.8677083333333334,0.8739583333333334,0.5641981993070516,0.9719671608065328,0.5878947915663139,0.9667916939001877,0.6115575224345245,0.9783947682591612,0.9369326151401962,0.5567261904761904,0.975,0.5758928571428572,0.9690476190476189,0.6012500000000001,0.9782738095238095,0.9372619047619049,mean
48,49,0.9265306122448982,0.8704081632653059,0.9214285714285715,0.8714285714285713,0.9224489795918368,0.8704081632653059,0.8765306122448978,0.5641981993070516,0.9719671608065328,0.6044140160135978,0.9667916939001877,0.6115575224345245,0.9783947682591612,0.9369326151401962,0.5567261904761904,0.975,0.5913690476190476,0.9690476190476189,0.6012500000000001,0.9782738095238095,0.9372619047619049,mean
49,50,0.9270000000000003,0.873,0.9230000000000003,0.874,0.9239999999999998,0.873,0.8790000000000001,0.5697014192177556,0.9719671608065328,0.6044140160135978,0.9667916939001877,0.6115575224345245,0.9783947682591612,0.9369326151401962,0.5629761904761904,0.975,0.5913690476190476,0.9690476190476189,0.6012500000000001,0.9782738095238095,0.9372619047619049,mean
50,1,0.09933992677987828,0.0,0.11470786693528089,0.0,0.0917662935482247,0.0,0.0,0.01533033561594422,0.007450330162240688,0.020595269881899587,0.008136718717431712,0.01699976546748187,0.008226753833178052,0.008145176419020428,0.014895825900288331,0.007600853020733756,0.019710670329138088,0.007600853020733756,0.016625306718592883,0.007600853020733756,0.007600853020733756,stdErr
51,2,0.06786208925382961,0.03441236008058426,0.06882472016116851,0.024999999999999998,0.07163503994113789,0.03441236008058426,0.04095890109545626,0.020169971793563946,0.01527122399818054,0.023820343169099013,0.012969173088968958,0.023239501023924993,0.017008073042328455,0.018973530475520615,0.0197509698511457,0.014803079451128551,0.023028589431336,0.01229971419700808,0.0231597223620109,0.015918468236052648,0.017765323671304126,stdErr
52,3,0.0555409337483394,0.027305934063637505,0.053530337903131074,0.043763051520233055,0.0634071591877235,0.033113308926626096,0.03504383220252312,0.026495093007949458,0.020631405888946314,0.02558957776680644,0.025829288454589757,0.028906900350808642,0.025745416664455952,0.021086028049346107,0.026067648156352523,0.01889515954531079,0.025165918421429262,0.02464015927866451,0.0289659092561117,0.025031200693838077,0.01930401429949091,stdErr
53,4,0.04543285965952513,0.03344280270299693,0.0552357388119799,0.04543285965952512,0.0638666373658505,0.026282874151892337,0.0375,0.029648647953732628,0.02236794496576972,0.034382965741243256,0.03066587151173006,0.04007979852526992,0.026452304707571015,0.022380651746446004,0.02928343143189987,0.02081807085046155,0.03403419780341139,0.030445712727726115,0.04012692773059695,0.024414784909201005,0.022513339589719652,stdErr
54,5,0.04696022953409339,0.03583588322220885,0.047016234598162725,0.04790341159150634,0.048720470138601035,0.03332456024900365,0.03811340418996142,0.03797477379781833,0.026854976402826213,0.03497001444175184,0.0436886276603535,0.03833761194896664,0.029691422106380483,0.030514017697446303,0.03778670436217587,0.027226243763050408,0.03475929486460312,0.04307129383692495,0.03833297091548661,0.028586237155459954,0.031199060403991282,stdErr
55,6,0.039366325740906795,0.03875813440371118,0.04060039178216754,0.03918019549846894,0.040284078958614154,0.025578111073374262,0.02936959481190036,0.03913617683593517,0.029191658086677286,0.03741614585534135,0.03964085483200352,0.03811784236266274,0.027724374345727134,0.02730272661521989,0.03924116483722866,0.029149143117017676,0.036666226745237125,0.039512040778875455,0.03814522048050874,0.027404111922856814,0.027455123877472166,stdErr
56,7,0.03417746067914874,0.037187653726586556,0.036310807734397516,0.0357142857142857,0.034800335813286454,0.026625460465602664,0.027174496794738642,0.039012196366027437,0.02872625197341095,0.03736952764874342,0.039014432269803306,0.03824416686758251,0.026680124962371616,0.02517997107410529,0.039179993219240664,0.030208834119335105,0.036617586687975684,0.03815367932730428,0.03844289156790475,0.02471104567666413,0.02553183263812686,stdErr
57,8,0.03282228864017479,0.033195988977744374,0.031282877442023,0.0321898153229607,0.030719175821592195,0.027053796309147483,0.026282874151892337,0.04192065723900144,0.023322207472210994,0.036634989401634115,0.03838236525620701,0.03676899218764892,0.027372147120063882,0.02527654321166106,0.041946595926655464,0.02540333946521994,0.03615696823011117,0.037702221095501434,0.03710792771524338,0.02582182446939552,0.026159111288675214,stdErr
58,9,0.028241739348975843,0.03568689193542072,0.02780700217068711,0.027305934063637512,0.02661300643972574,0.02497562164217851,0.02363904436421958,0.04046512755150299,0.02320761535960731,0.036634989401634115,0.03351099466367876,0.03575981299402758,0.025860997978138803,0.02691494057525395,0.0405421358528173,0.025674350981189125,0.03615696823011117,0.03327472021834686,0.03597004029027916,0.025066785569979134,0.02799348569537657,stdErr
59,10,0.023508117299081366,0.03266657715705602,0.027047716121114944,0.028654015976455154,0.02603135760861059,0.022478059477960652,0.02127513992779761,0.03666234769160453,0.021479731771578574,0.039193275652866184,0.03435805377865608,0.03766600706299035,0.025860997978138803,0.02691494057525395,0.036934713773269005,0.02458706893280062,0.03841591175059561,0.034368232552169385,0.03787688046494614,0.025066785569979134,0.02799348569537657,stdErr
60,11,0.021269005522385514,0.02969688832459638,0.025776332414536238,0.026049105433141047,0.024029668482463934,0.016782258284493375,0.019199961939936176,0.03550291369902952,0.021479731771578574,0.03987292128498487,0.03435805377865608,0.039360221885391594,0.02860662602108936,0.02476005132508946,0.0357894858875547,0.02458706893280062,0.03936271598498715,0.034368232552169385,0.03976860836366692,0.02835609645613903,0.0258979735964134,stdErr
61,12,0.01873171623163388,0.026679684322636864,0.02310034049519946,0.021692798007175492,0.022192505715703227,0.016556654463313048,0.017599965111608162,0.03322836303456265,0.020371608398081935,0.038996053979340715,0.03019469735926919,0.04164200054419592,0.026785959042917314,0.02476005132508946,0.033354727626744345,0.021998969938671516,0.038428397123144636,0.030608705090322933,0.04180297030679685,0.026348265853714758,0.0258979735964134,stdErr
