,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep,top
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1,4
4,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,5
5,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,6
6,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,7
7,1.0,0.875,1.0,0.875,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,8
8,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,9
9,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,10
10,1.0,0.9090909090909091,1.0,0.9090909090909091,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,11
11,1.0,0.9166666666666666,1.0,0.9166666666666666,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,12
12,1.0,0.9230769230769231,1.0,0.9230769230769231,1.0,1.0,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,13
13,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.16916754172292048,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,1,14
14,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.346583470842173,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,1,15
15,1.0,0.9375,1.0,0.9375,1.0,0.875,0.9375,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.346583470842173,0.17741592911925255,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,1,16
16,1.0,0.9411764705882353,1.0,0.9411764705882353,1.0,0.8823529411764706,0.9411764705882353,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.346583470842173,0.17741592911925255,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,1,17
17,1.0,0.9444444444444444,1.0,0.9444444444444444,1.0,0.8333333333333334,0.9444444444444444,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.47998680867579574,0.17741592911925255,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,1,18
18,1.0,0.9473684210526315,1.0,0.9473684210526315,1.0,0.7894736842105263,0.9473684210526315,0.0,0.17741592911925255,0.0,0.17741592911925255,0.0,0.6539258476140126,0.17741592911925255,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,1,19
