,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.65,0.95,0.65,0.2,0.5,0.25,0.25,0.0534591952116988,0.009757436594674965,0.06797029430901415,0.12829700580519532,0.09103721490853746,0.13285061715315016,0.1304965460752342,0.054841269841269843,0.01,0.06505952380952382,0.12640873015873016,0.08775793650793651,0.13037698412698412,0.13037698412698412,mean
1,2,0.675,0.9,0.725,0.4,0.625,0.325,0.375,0.0991880345581893,0.03058946899361655,0.09985269153604234,0.2119541028193664,0.13423646785326365,0.24530665856052494,0.2150351686900041,0.09968253968253968,0.030138888888888892,0.09767857142857142,0.20575396825396824,0.12990079365079363,0.2381349206349206,0.2131349206349206,mean
2,3,0.7,0.9333333333333333,0.7499999999999999,0.4833333333333335,0.6833333333333332,0.33333333333333326,0.4333333333333333,0.14017983369070044,0.03058946899361655,0.13042070977538708,0.27106096502115473,0.16332344365174858,0.3543949610630996,0.2945465035935511,0.1406349206349206,0.030138888888888892,0.12863095238095237,0.26607142857142857,0.16093253968253968,0.34970238095238093,0.2978373015873016,mean
3,4,0.75,0.9375,0.775,0.4875,0.75,0.3625,0.525,0.161108171143614,0.03946026544957918,0.15308950530841964,0.35366022473124686,0.17454865772005007,0.4588418753764076,0.33876991036874793,0.16063492063492063,0.03847222222222222,0.15132936507936506,0.3497222222222222,0.17093253968253966,0.4581547619047618,0.3387896825396825,mean
4,5,0.7700000000000001,0.9500000000000002,0.8,0.57,0.7700000000000002,0.4600000000000001,0.5800000000000001,0.19712423020485698,0.03946026544957918,0.1700499937315672,0.36968816099863533,0.20090601960566704,0.4811423561846044,0.38373428046622154,0.19563492063492063,0.03847222222222222,0.16688492063492064,0.36519841269841274,0.19759920634920633,0.48077380952380944,0.3854563492063492,mean
5,6,0.7833333333333334,0.9583333333333334,0.8249999999999998,0.6,0.7916666666666667,0.4916666666666668,0.6083333333333334,0.22603812816153246,0.03946026544957918,0.1770555212220027,0.4088032477207354,0.2167985367260583,0.5366075734029085,0.4289895589780124,0.22361111111111112,0.03847222222222222,0.17402777777777775,0.4035912698412698,0.21474206349206346,0.5360912698412699,0.42779761904761904,mean
6,7,0.8071428571428573,0.9571428571428571,0.8357142857142856,0.6428571428571428,0.8142857142857141,0.55,0.6357142857142857,0.24196596191362274,0.04646579294001467,0.19125533054863267,0.4267974942593253,0.2239556765374841,0.5580678857325891,0.4564970472298424,0.2402777777777778,0.04561507936507936,0.18831349206349204,0.4219246031746032,0.22188492063492057,0.5557341269841269,0.45716269841269835,mean
7,8,0.81875,0.95,0.8375,0.6875,0.825,0.56875,0.675,0.2555515301996652,0.06207499031689342,0.21742092237406124,0.4267974942593253,0.23852076895765348,0.6009990180506637,0.46335368747659117,0.25416666666666665,0.061091269841269835,0.21331349206349204,0.4219246031746032,0.2357738095238095,0.5989682539682539,0.46430555555555547,mean
8,9,0.8333333333333336,0.9555555555555555,0.8444444444444447,0.7166666666666666,0.8444444444444447,0.5999999999999999,0.7,0.2617667484922153,0.06207499031689342,0.23389384492005855,0.43564902206975453,0.23852076895765348,0.6219426298914136,0.47811677388971496,0.26041666666666663,0.061091269841269835,0.23045634920634916,0.4302579365079365,0.2357738095238095,0.6199999999999999,0.4785912698412697,mean
9,10,0.8450000000000001,0.9600000000000002,0.85,0.735,0.8550000000000002,0.6399999999999999,0.715,0.27031057100070244,0.06207499031689342,0.2516024411084352,0.4543704164906612,0.24913474453431558,0.6219426298914136,0.4980992018983342,0.27041666666666664,0.061091269841269835,0.24759920634920635,0.44859126984126985,0.2457738095238095,0.6199999999999999,0.4996230158730158,mean
