,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.25,0.4,0.4,0.35,0.25,0.4,0.4,0.25080538500378297,0.17750686232341478,0.1825465853212493,0.192522938962098,0.2441055068648276,0.18829266605232142,0.1803884401561426,0.11303571428571428,0.09220238095238095,0.09123015873015873,0.10003968253968254,0.11373015873015872,0.09073412698412699,0.09003968253968253,mean
1,2,0.55,0.475,0.625,0.475,0.475,0.45,0.525,0.2851196951529482,0.2717301692973653,0.20417352351845458,0.285010191479659,0.31722225996045567,0.2960027781684793,0.2672291269103241,0.1417857142857143,0.164484126984127,0.11303571428571428,0.16398809523809524,0.16567460317460317,0.1760714285714286,0.15426587301587305,mean
2,3,0.6333333333333332,0.5000000000000002,0.6833333333333331,0.5333333333333333,0.6499999999999998,0.5,0.5833333333333333,0.33048390017610807,0.3481580547884486,0.25661985396501646,0.3337003421349227,0.31722225996045567,0.4002155136679644,0.3203467208149243,0.17192460317460317,0.22043650793650796,0.14636904761904762,0.21563492063492068,0.16567460317460317,0.24140873015873016,0.20285714285714285,mean
3,4,0.6625,0.55,0.75,0.5875,0.7,0.55,0.6125,0.36356602183982645,0.4041695976863388,0.26825094813041583,0.3768930012735413,0.34237052365103804,0.4398483435110066,0.38798327359409795,0.20998015873015877,0.26029761904761906,0.1563690476190476,0.24916666666666668,0.1890674603174603,0.28,0.24638888888888894,mean
4,5,0.7200000000000001,0.6100000000000001,0.75,0.6199999999999999,0.7300000000000001,0.59,0.6700000000000002,0.37433463390133354,0.419762512427621,0.32212601434555754,0.4288456921891471,0.37371878775729006,0.4757410211595535,0.39699235321832627,0.21623015873015877,0.2854960317460318,0.1905952380952381,0.29347222222222225,0.21017857142857146,0.31519841269841276,0.2590873015873016,mean
5,6,0.7416666666666668,0.6583333333333333,0.7666666666666667,0.6749999999999999,0.7666666666666668,0.6583333333333333,0.6916666666666669,0.4009520148702367,0.44544289213436217,0.3494749059239147,0.437125034003368,0.3787626498130373,0.4757410211595535,0.43698066736005153,0.23734126984126988,0.3026388888888889,0.20865079365079361,0.30061507936507936,0.2173214285714286,0.31519841269841276,0.2828968253968255,mean
6,7,0.7642857142857143,0.707142857142857,0.7928571428571428,0.707142857142857,0.7857142857142857,0.6785714285714285,0.7285714285714285,0.418239497124315,0.44544289213436217,0.36176563208028173,0.458734139609365,0.38705607126421904,0.5043509756862681,0.4416182709287714,0.250734126984127,0.3026388888888889,0.2142063492063492,0.31519841269841276,0.23001984126984126,0.34644841269841276,0.28914682539682546,mean
7,8,0.7875,0.71875,0.8,0.74375,0.8,0.71875,0.73125,0.4296759395701216,0.4839851783716724,0.3940474861559765,0.458734139609365,0.39969607331109724,0.5043509756862681,0.4779903619740738,0.256984126984127,0.32833333333333337,0.23226190476190473,0.31519841269841276,0.24626984126984128,0.34644841269841276,0.32345238095238094,mean
8,9,0.8111111111111111,0.7444444444444445,0.8222222222222223,0.75,0.8166666666666668,0.7222222222222222,0.7611111111111112,0.4296759395701216,0.49370574976012416,0.3940474861559765,0.49868033054966016,0.4148969918989776,0.5393342480563548,0.4779903619740738,0.256984126984127,0.33666666666666667,0.23226190476190473,0.33970238095238103,0.2534126984126984,0.3816468253968254,0.32345238095238094,mean
9,10,0.8149999999999998,0.7649999999999999,0.8300000000000001,0.765,0.8250000000000002,0.7449999999999999,0.78,0.4619605613928022,0.5046826646174234,0.4230252083767015,0.5187477026592482,0.43216715151470464,0.5400328848951478,0.48507232929072436,0.2768253968253968,0.34291666666666665,0.2485119047619047,0.352202380952381,0.2659126984126984,0.3872023809523809,0.33595238095238095,mean
10,11,0.8318181818181817,0.7863636363636363,0.8454545454545451,0.7818181818181816,0.8409090909090908,0.7636363636363634,0.7999999999999997,0.4619605613928022,0.5046826646174234,0.4230252083767015,0.5194463394980412,0.43216715151470464,0.5472231772746541,0.48507232929072436,0.2768253968253968,0.34291666666666665,0.2485119047619047,0.3577579365079365,0.2659126984126984,0.39345238095238094,0.33595238095238095,mean
11,12,0.8458333333333332,0.8041666666666668,0.8541666666666666,0.7916666666666667,0.8541666666666666,0.775,0.8124999999999998,0.4619605613928022,0.5046826646174234,0.44012853315343536,0.5400424692212333,0.43216715151470464,0.5711554263788642,0.4878098807717904,0.2768253968253968,0.34291666666666665,0.2585119047619048,0.37331349206349207,0.2659126984126984,0.4097023809523809,0.3415079365079365,mean
12,13,0.853846153846154,0.8192307692307695,0.8576923076923079,0.7961538461538464,0.8615384615384617,0.7884615384615385,0.8192307692307693,0.4729374762501015,0.5046826646174234,0.45517101894327333,0.5670671210997419,0.44183836990438746,0.5736726404657049,0.4964679701596271,0.28307539682539684,0.34291666666666665,0.27031746031746035,0.3951190476190476,0.2759126984126984,0.4159523809523809,0.3540079365079365,mean
13,14,0.8642857142857144,0.8214285714285717,0.8642857142857144,0.8000000000000002,0.8678571428571429,0.8,0.8285714285714286,0.4729374762501015,0.5348986222873886,0.4694025631081374,0.6044247689501046,0.4454956989055831,0.5819519822799258,0.4992696100027568,0.28307539682539684,0.3618650793650794,0.28031746031746035,0.4178174603174603,0.281468253968254,0.423095238095238,0.36025793650793647,mean
