,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.55,0.55,0.55,0.5,0.35,0.4,0.5,0.16100188763890902,0.1212469698036019,0.13817433188694772,0.1387673885332195,0.20844048127537046,0.19570081519035262,0.15161221724695403,0.0639484126984127,0.07069444444444445,0.06533730158730158,0.0766468253968254,0.09748015873015872,0.0928968253968254,0.0766468253968254,mean
1,2,0.575,0.625,0.65,0.525,0.525,0.525,0.625,0.2624428067422707,0.18334306739429762,0.20679579418148344,0.2538458244892087,0.2763419408739084,0.25698901473985136,0.22591856115219705,0.12839285714285714,0.1155357142857143,0.09956349206349205,0.144484126984127,0.14248015873015876,0.148234126984127,0.12095238095238095,mean
2,3,0.6666666666666665,0.6833333333333333,0.7166666666666666,0.6166666666666667,0.6666666666666666,0.6333333333333334,0.6500000000000001,0.2991167280015488,0.2313500704215449,0.2406397709852397,0.2997517817091849,0.28777838331971506,0.30238432638944174,0.2920010261639005,0.15464285714285714,0.14232142857142857,0.1267063492063492,0.1778769841269841,0.14873015873015877,0.174484126984127,0.16240079365079366,mean
3,4,0.725,0.675,0.7375,0.675,0.7375,0.675,0.7125,0.317545746925309,0.3073733612583186,0.2915377293827774,0.3329385084181594,0.30447640956131294,0.34535482485767477,0.31216313261208467,0.1664484126984127,0.19218253968253968,0.16170634920634921,0.19968253968253968,0.15873015873015878,0.2034325396825397,0.17954365079365078,mean
4,5,0.7500000000000002,0.7300000000000002,0.74,0.6599999999999999,0.7700000000000001,0.7,0.76,0.34524125854249194,0.31121207012346647,0.33742656818500166,0.39385731126415635,0.31415787518578014,0.37047386716472064,0.31347636076876056,0.1853968253968254,0.20218253968253969,0.1967063492063492,0.26571428571428574,0.1721230158730159,0.2355753968253968,0.18787698412698411,mean
5,6,0.7666666666666668,0.7583333333333334,0.7666666666666666,0.7000000000000001,0.7583333333333334,0.7333333333333334,0.7666666666666667,0.38542017480190444,0.3460160901411743,0.36052654494651626,0.41778475585306796,0.37520778301506325,0.3944429313351243,0.34526873311686535,0.21623015873015872,0.21843253968253973,0.21226190476190476,0.2775198412698413,0.2271230158730159,0.252718253968254,0.21307539682539683,mean
6,7,0.7928571428571429,0.7928571428571428,0.7857142857142856,0.7214285714285713,0.7857142857142858,0.7285714285714284,0.757142857142857,0.3961887868634115,0.3460160901411743,0.3854123229797638,0.4441596561835347,0.37553389098389306,0.4417839624562874,0.4076039833497832,0.22248015873015872,0.21843253968253973,0.22851190476190472,0.2993253968253969,0.23712301587301585,0.2957539682539682,0.26452380952380955,mean
7,8,0.8125,0.8,0.775,0.74375,0.8125,0.74375,0.775,0.4063624359342451,0.3639047413906477,0.4404788707018671,0.4699741793103641,0.37553389098389306,0.4636189871190317,0.4253189201189687,0.23248015873015873,0.23648809523809527,0.27390873015873013,0.31807539682539687,0.23712301587301585,0.32289682539682535,0.27841269841269844,mean
8,9,0.8277777777777782,0.8166666666666668,0.7944444444444445,0.7611111111111111,0.8111111111111112,0.7555555555555558,0.788888888888889,0.41324020724658495,0.3761954675470146,0.44796737923148583,0.48053307476053775,0.42184330647999635,0.48862756900894244,0.4359836334155299,0.23962301587301588,0.2420436507936508,0.2794642857142857,0.3298809523809524,0.2681547619047619,0.3402579365079365,0.2909126984126985,mean
9,10,0.8400000000000002,0.8250000000000002,0.8150000000000001,0.775,0.825,0.765,0.8,0.4292005418692023,0.3960981235294994,0.44796737923148583,0.4980908675197159,0.4246288608979909,0.5168469472433185,0.4501319416677701,0.246765873015873,0.2559325396825397,0.2794642857142857,0.3470238095238095,0.27440476190476193,0.3673412698412698,0.30716269841269844,mean
10,11,0.8545454545454543,0.8363636363636362,0.8272727272727274,0.7954545454545453,0.8272727272727269,0.7863636363636364,0.8090909090909092,0.4292005418692023,0.4027408951320163,0.46044712610744964,0.4980908675197159,0.4483881753281733,0.5168469472433185,0.4732910093054043,0.246765873015873,0.2659325396825397,0.28946428571428573,0.3470238095238095,0.2924603174603175,0.3673412698412698,0.32430555555555557,mean
11,12,0.8583333333333334,0.8458333333333334,0.8375,0.8041666666666666,0.8375,0.7958333333333333,0.825,0.44473073176215394,0.4099274004926238,0.47730738172508336,0.5207110367952299,0.4643485099507906,0.5224317177005883,0.4732910093054043,0.2578769841269842,0.27148809523809525,0.30196428571428574,0.3616071428571429,0.2996031746031746,0.3798412698412698,0.32430555555555557,mean
12,13,0.8653846153846155,0.8576923076923079,0.8423076923076923,0.8153846153846154,0.8500000000000002,0.8038461538461539,0.8346153846153846,0.46292811111421245,0.4099274004926238,0.49514395307641934,0.5237150896551784,0.4643485099507906,0.5359909979541879,0.47431804965486013,0.2634325396825397,0.27148809523809525,0.31446428571428575,0.36716269841269844,0.2996031746031746,0.3981746031746031,0.3305555555555556,mean
13,14,0.8714285714285716,0.8642857142857142,0.8464285714285715,0.8285714285714285,0.8571428571428573,0.8071428571428572,0.8428571428571429,0.46892534155857374,0.41152485862918453,0.5044555563795287,0.5237150896551784,0.4708252326509233,0.5605366898069527,0.4851293325838747,0.2696825396825397,0.28148809523809526,0.3262698412698413,0.36716269841269844,0.3058531746031746,0.41553571428571423,0.33680555555555564,mean
14,15,0.8666666666666669,0.8600000000000001,0.8533333333333335,0.8333333333333334,0.8633333333333335,0.8133333333333331,0.85,0.4920754832460393,0.46003649512252026,0.5054825967289844,0.5342125786658642,0.4804964510406061,0.5808952681309959,0.4928457951834263,0.29863095238095244,0.3082738095238096,0.3325198412698413,0.3782738095238095,0.31585317460317464,0.4289285714285714,0.3430555555555556,mean
15,16,0.875,0.865625,0.859375,0.84375,0.871875,0.815625,0.859375,0.4920754832460393,0.46272070455552966,0.5126691020895919,0.5342125786658642,0.4804964510406061,0.6169168425652046,0.4928457951834263,0.29863095238095244,0.31382936507936515,0.33807539682539683,0.3782738095238095,0.31585317460317464,0.4514285714285714,0.3430555555555556,mean
16,17,0.8823529411764708,0.8705882352941178,0.8676470588235295,0.8529411764705884,0.8764705882352942,0.8264705882352942,0.8558823529411766,0.4920754832460393,0.4724412759439815,0.5126691020895919,0.5342125786658642,0.49672985030092026,0.6169168425652046,0.5258614407896928,0.29863095238095244,0.32216269841269846,0.33807539682539683,0.3782738095238095,0.3258531746031746,0.4514285714285714,0.3753968253968254,mean
17,18,0.8861111111111113,0.875,0.8722222222222223,0.8527777777777776,0.8805555555555558,0.8333333333333336,0.8611111111111113,0.5045552301220031,0.4849210228199453,0.5249127222879231,0.5592111348925918,0.4994674017819863,0.6251343006326783,0.5352269261973586,0.3086309523809524,0.3321626984126984,0.34432539682539687,0.40166666666666667,0.3314087301587302,0.4585714285714285,0.38373015873015875,mean
18,19,0.8868421052631577,0.881578947368421,0.8789473684210527,0.8605263157894736,0.8868421052631579,0.8394736842105264,0.8657894736842107,0.513486669114104,0.4849210228199453,0.5249127222879231,0.5592111348925918,0.4994674017819863,0.6344997860403442,0.5519249524389565,0.32418650793650794,0.3321626984126984,0.34432539682539687,0.40166666666666667,0.3314087301587302,0.4669047619047618,0.39373015873015876,mean
19,20,0.8924999999999998,0.8874999999999998,0.885,0.8674999999999999,0.8924999999999997,0.8450000000000001,0.8724999999999999,0.513486669114104,0.4849210228199453,0.5249127222879231,0.5592111348925918,0.4994674017819863,0.6441710044300271,0.5519249524389565,0.32418650793650794,0.3321626984126984,0.34432539682539687,0.40166666666666667,0.3314087301587302,0.47690476190476183,0.39373015873015876,mean
20,21,0.8952380952380953,0.8904761904761905,0.8904761904761905,0.8738095238095239,0.8928571428571429,0.8523809523809526,0.8785714285714287,0.5257000683530592,0.494195729648151,0.5249127222879231,0.5592111348925918,0.5048322477476501,0.6441710044300271,0.5519249524389565,0.32974206349206353,0.3393055555555555,0.34432539682539687,0.40166666666666667,0.3514087301587302,0.47690476190476183,0.39373015873015876,mean
21,22,0.8977272727272725,0.8886363636363637,0.893181818181818,0.8749999999999998,0.8977272727272727,0.8590909090909088,0.8795454545454545,0.5328865737136667,0.5156962602202226,0.5356813343494302,0.5742988225892419,0.5048322477476501,0.6441710044300271,0.5710282291313244,0.3352976190476191,0.36111111111111105,0.35057539682539685,0.41416666666666657,0.3514087301587302,0.47690476190476183,0.4062301587301588,mean
22,23,0.9021739130434782,0.8913043478260871,0.8978260869565217,0.8804347826086956,0.8978260869565219,0.8630434782608696,0.8826086956521738,0.5328865737136667,0.5247867174725114,0.5356813343494302,0.5742988225892419,0.523042059860467,0.6488084549711164,0.5791431872570365,0.3352976190476191,0.3673611111111111,0.35057539682539685,0.41416666666666657,0.3676587301587301,0.48690476190476184,0.4133730158730159,mean
23,24,0.9062499999999998,0.89375,0.9020833333333332,0.8833333333333332,0.9020833333333336,0.8666666666666666,0.8854166666666666,0.5328865737136667,0.544981669525057,0.5356813343494302,0.5909968488308398,0.523042059860467,0.6650418542314306,0.5953765865173507,0.3352976190476191,0.37361111111111106,0.35057539682539685,0.42416666666666664,0.3676587301587301,0.49690476190476185,0.4233730158730159,mean
24,25,0.9100000000000001,0.8980000000000002,0.9,0.8840000000000001,0.906,0.8700000000000001,0.8859999999999999,0.5328865737136667,0.544981669525057,0.5582429326702028,0.6059895782688918,0.523042059860467,0.6800016466767875,0.6180383221404927,0.3352976190476191,0.37361111111111106,0.37327380952380956,0.43845238095238104,0.3676587301587301,0.5031547619047618,0.43892857142857145,mean
25,26,0.9096153846153847,0.9000000000000001,0.9038461538461539,0.8884615384615386,0.9096153846153847,0.8730769230769232,0.8884615384615385,0.5436521986576933,0.5506012405993408,0.5582429326702028,0.6059895782688918,0.523042059860467,0.6929921639102469,0.6196357802770536,0.34779761904761913,0.38611111111111107,0.37327380952380956,0.43845238095238104,0.3676587301587301,0.5087103174603175,0.4489285714285714,mean
26,27,0.912962962962963,0.9018518518518521,0.9074074074074074,0.8925925925925927,0.9129629629629632,0.8777777777777777,0.888888888888889,0.5436521986576933,0.5552386911404301,0.5582429326702028,0.6059895782688918,0.523042059860467,0.6929921639102469,0.6378686169291015,0.34779761904761913,0.3961111111111111,0.37327380952380956,0.43845238095238104,0.3676587301587301,0.5087103174603175,0.4635119047619047,mean
27,28,0.9142857142857143,0.9053571428571427,0.9089285714285715,0.894642857142857,0.9160714285714283,0.8803571428571428,0.8910714285714285,0.549648850642474,0.5552386911404301,0.5744763319305168,0.6136995713791972,0.523042059860467,0.7039193463634561,0.649437979358825,0.35335317460317467,0.3961111111111111,0.38327380952380957,0.448452380952381,0.3676587301587301,0.514265873015873,0.4690674603174602,mean
28,29,0.9172413793103447,0.9068965517241377,0.9120689655172413,0.8965517241379309,0.918965517241379,0.8827586206896552,0.8948275862068966,0.549648850642474,0.5610724083103505,0.5744763319305168,0.62337078976888,0.523042059860467,0.7046179832022492,0.649437979358825,0.35335317460317467,0.4023611111111111,0.38327380952380957,0.45845238095238106,0.3676587301587301,0.5198214285714285,0.4690674603174602,mean
29,30,0.9183333333333333,0.9083333333333335,0.915,0.9000000000000001,0.9216666666666666,0.8866666666666669,0.8966666666666668,0.5542115438592714,0.5777704345519483,0.5744763319305168,0.62337078976888,0.523042059860467,0.7046179832022492,0.6650466468902982,0.3633531746031747,0.41236111111111107,0.38327380952380957,0.45845238095238106,0.3676587301587301,0.5198214285714285,0.47740079365079363,mean
30,31,0.9209677419354838,0.9112903225806448,0.917741935483871,0.9016129032258062,0.9241935483870967,0.8903225806451612,0.8983870967741934,0.5542115438592714,0.5777704345519483,0.5744763319305168,0.6284146518246272,0.523042059860467,0.7046179832022492,0.6772600461292534,0.3633531746031747,0.41236111111111107,0.38327380952380957,0.4655952380952382,0.3676587301587301,0.5198214285714285,0.48295634920634917,mean
31,32,0.9234375,0.9140625,0.9203125,0.9046875,0.9265625,0.8921875,0.9,0.5542115438592714,0.5777704345519483,0.5744763319305168,0.6284146518246272,0.523042059860467,0.7079289668523275,0.6922198385746106,0.3633531746031747,0.41236111111111107,0.38327380952380957,0.4655952380952382,0.3676587301587301,0.5253769841269841,0.48920634920634914,mean
32,33,0.9242424242424242,0.9166666666666664,0.9227272727272726,0.9075757575757575,0.9272727272727274,0.8954545454545453,0.903030303030303,0.5614018362387777,0.5777704345519483,0.5744763319305168,0.6284146518246272,0.5307409097043629,0.7079289668523275,0.6922198385746106,0.36960317460317466,0.41236111111111107,0.38327380952380957,0.4655952380952382,0.3739087301587301,0.5253769841269841,0.48920634920634914,mean
33,34,0.926470588235294,0.9161764705882354,0.9220588235294119,0.9088235294117648,0.9264705882352942,0.8970588235294118,0.9058823529411766,0.5614018362387777,0.592286750121741,0.5862356233995074,0.6455179766013611,0.5377055384096197,0.7129728289080749,0.6922198385746106,0.36960317460317466,0.4241666666666667,0.39666666666666667,0.47559523809523824,0.38730158730158726,0.5325198412698412,0.48920634920634914,mean
34,35,0.9285714285714286,0.9171428571428573,0.9214285714285715,0.9085714285714287,0.9271428571428573,0.9000000000000001,0.9085714285714287,0.5614018362387777,0.600566091935962,0.6000487137981102,0.6575137428840201,0.5457472197729526,0.7129728289080749,0.6922198385746106,0.36960317460317466,0.4313095238095238,0.4129166666666667,0.48898809523809533,0.39285714285714285,0.5325198412698412,0.48920634920634914,mean
35,36,0.9305555555555556,0.9166666666666664,0.923611111111111,0.9111111111111109,0.9277777777777777,0.9027777777777777,0.9111111111111111,0.5614018362387777,0.6195304794185279,0.6000487137981102,0.6575137428840201,0.5565158318344597,0.7129728289080749,0.6922198385746106,0.36960317460317466,0.44400793650793646,0.4129166666666667,0.48898809523809533,0.3991071428571428,0.5325198412698412,0.48920634920634914,mean
36,37,0.9324324324324325,0.9175675675675677,0.9256756756756757,0.9135135135135137,0.9297297297297298,0.9054054054054055,0.9135135135135137,0.5614018362387777,0.6253131812258601,0.6000487137981102,0.6575137428840201,0.5565158318344597,0.7129728289080749,0.6922198385746106,0.36960317460317466,0.4540079365079365,0.4129166666666667,0.48898809523809533,0.3991071428571428,0.5325198412698412,0.48920634920634914,mean
37,38,0.9328947368421053,0.9197368421052632,0.9263157894736841,0.9144736842105262,0.9315789473684208,0.9078947368421053,0.9157894736842105,0.5690093346798275,0.6253131812258601,0.6038874226632581,0.6625313577361179,0.5565158318344597,0.7129728289080749,0.6922198385746106,0.3758531746031747,0.4540079365079365,0.4229166666666667,0.49523809523809537,0.3991071428571428,0.5325198412698412,0.48920634920634914,mean
38,39,0.9346153846153846,0.9217948717948719,0.9256410256410257,0.9128205128205129,0.9307692307692308,0.9089743589743591,0.9153846153846155,0.5690093346798275,0.6253131812258601,0.6236822601518774,0.6811575816720644,0.5697443841364198,0.7285814964395481,0.7006162775475723,0.3758531746031747,0.4540079365079365,0.4384722222222224,0.5148809523809526,0.4191071428571428,0.5408531746031745,0.5054563492063491,mean
39,40,0.93625,0.9237500000000001,0.9274999999999997,0.915,0.93125,0.9112499999999999,0.91625,0.5690093346798275,0.6253131812258601,0.6236822601518774,0.6811575816720644,0.5747619989885179,0.7285814964395481,0.7086579589109052,0.3758531746031747,0.4540079365079365,0.4384722222222224,0.5148809523809526,0.4253571428571428,0.5408531746031745,0.5110119047619047,mean
