,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.45,0.05,0.7,0.2,0.5,0.05,0.2,0.1502744323825154,0.2729792171647099,0.08744114212651907,0.2584587199597596,0.16649827684611618,0.31600219961926984,0.24988232484272288,0.09121031746031745,0.1538293650793651,0.04531746031746031,0.1295436507936508,0.08892857142857143,0.1538293650793651,0.13121031746031747,mean
1,2,0.575,0.075,0.75,0.3,0.575,0.25,0.375,0.22595499718984705,0.5243608734625231,0.11412112012093138,0.41133866045673806,0.24338737969196256,0.44187569977613644,0.3852876730013543,0.14105158730158732,0.300515873015873,0.08079365079365078,0.22408730158730158,0.1421626984126984,0.24456349206349204,0.20063492063492064,mean
2,3,0.6833333333333333,0.2666666666666666,0.7499999999999999,0.4666666666666666,0.6833333333333333,0.38333333333333325,0.4833333333333332,0.24654170493105282,0.5719765818309028,0.18904366329905592,0.44591523381495113,0.2572442667850231,0.5056363002477899,0.45056742344267003,0.15660714285714286,0.3491666666666667,0.12668650793650796,0.2586706349206349,0.15396825396825398,0.29509920634920633,0.24873015873015875,mean
3,4,0.7125,0.3625,0.75,0.5125,0.7375,0.4625,0.55,0.29173377039848936,0.6368515301375134,0.2417765084627373,0.5244757900984397,0.2705155107159406,0.5596054076157747,0.4847312562730365,0.19208333333333333,0.4013690476190477,0.16722222222222222,0.31343253968253976,0.1723015873015873,0.33819444444444446,0.2888492063492064,mean
4,5,0.74,0.4600000000000001,0.7600000000000001,0.5900000000000001,0.7599999999999999,0.55,0.63,0.3174541464606935,0.6624331306745836,0.30342813727242934,0.5415684248136694,0.30433523299275483,0.5795105137905582,0.4909527795617987,0.21351190476190474,0.42601190476190476,0.19728174603174603,0.326765873015873,0.1965873015873016,0.3503373015873016,0.29599206349206353,mean
5,6,0.7583333333333333,0.5166666666666666,0.7833333333333334,0.65,0.7666666666666665,0.6083333333333334,0.65,0.3460908965014376,0.7025494745804468,0.3316193451443337,0.5468235538993605,0.3514315229448347,0.6033269134478194,0.555807203772103,0.23732142857142854,0.4599007936507936,0.21275793650793648,0.336765873015873,0.22420634920634921,0.36581349206349206,0.3298611111111111,mean
6,7,0.7785714285714284,0.5571428571428572,0.7928571428571429,0.6714285714285713,0.7785714285714284,0.65,0.6785714285714285,0.36550304767100683,0.7320440571152352,0.3469340180911952,0.5752709605370405,0.380988240371979,0.6223651649825841,0.578149437519035,0.2516071428571428,0.4925198412698412,0.23456349206349209,0.37640873015873016,0.24682539682539684,0.3854563492063492,0.35450396825396824,mean
7,8,0.8,0.6,0.78125,0.70625,0.80625,0.6875,0.7125,0.40012422666905734,0.7467411126747974,0.41357553745303655,0.5818953945585904,0.380988240371979,0.6363177412133745,0.5900231018171732,0.25994047619047617,0.5079960317460317,0.2788492063492064,0.3814087301587302,0.24682539682539684,0.39259920634920636,0.3628373015873016,mean
8,9,0.8166666666666668,0.6333333333333333,0.8000000000000002,0.7277777777777777,0.8166666666666668,0.7166666666666667,0.7444444444444446,0.41472280563161357,0.7594184200330503,0.42099236196113665,0.5980125550427875,0.4081464962721116,0.6431297523827098,0.5900231018171732,0.2670833333333333,0.5263293650793651,0.2859920634920635,0.39569444444444446,0.2614087301587302,0.4025992063492064,0.3628373015873016,mean
9,10,0.8150000000000001,0.6649999999999998,0.8150000000000002,0.7499999999999999,0.8250000000000002,0.745,0.765,0.456218208746675,0.7648528034144356,0.44226727156537715,0.6079165520422536,0.4370469748298619,0.6431297523827098,0.6050866447964862,0.2947023809523809,0.5334722222222222,0.2943253968253968,0.40402777777777776,0.27974206349206343,0.4025992063492064,0.3699801587301587,mean
