,top,FD_SNP_bayP,FD_SNP_uncor,FD_TC_bayP,FD_TC_uncor,FD_WZA_bayP,FD_WZA_empR,FD_WZA_uncor,PCE_SNP_bayP,PCE_SNP_uncor,PCE_TC_bayP,PCE_TC_uncor,PCE_WZA_bayP,PCE_WZA_empR,PCE_WZA_uncor,TP_SNP_bayP,TP_SNP_uncor,TP_TC_bayP,TP_TC_uncor,TP_WZA_bayP,TP_WZA_empR,TP_WZA_uncor,rep
0,1,0.0,0.35,0.35,0.15,0.25,0.25,0.3,0.420039576934825,0.23266623720130325,0.28655337756142996,0.3453672729249646,0.34153611304892273,0.3599872000297716,0.32599561555491186,0.19720238095238093,0.12958333333333333,0.13511904761904764,0.17261904761904762,0.15595238095238095,0.15714285714285714,0.14464285714285713,mean
1,2,0.15,0.55,0.575,0.35,0.45,0.275,0.45,0.581940462648792,0.335556529939388,0.34786172149661754,0.4407695991335402,0.42640162827127703,0.5182215583295526,0.4279291016855561,0.34482142857142867,0.1783928571428572,0.1742857142857143,0.2717857142857143,0.23178571428571432,0.30339285714285713,0.2288095238095238,mean
2,3,0.33333333333333337,0.6166666666666666,0.6499999999999999,0.5,0.5333333333333332,0.41666666666666663,0.5666666666666667,0.6478820116673751,0.4043360446998938,0.3965952224173637,0.5018551692176789,0.49760233945136195,0.5964156024617886,0.4675508101629237,0.40113095238095237,0.23089285714285715,0.2217857142857143,0.3126190476190477,0.29726190476190484,0.3555357142857143,0.27095238095238094,mean
3,4,0.475,0.7,0.6875,0.575,0.6125,0.5125,0.6375,0.6710889970325697,0.4174743579437791,0.4465537510222144,0.5411228973319064,0.5257538063378048,0.6313171251872604,0.49444635974175444,0.41571428571428565,0.24089285714285716,0.26809523809523816,0.3547619047619047,0.32732142857142865,0.3976785714285714,0.29476190476190484,mean
4,5,0.58,0.7200000000000001,0.7100000000000001,0.63,0.6900000000000002,0.5700000000000001,0.6799999999999999,0.6710889970325697,0.46093713373544015,0.4992445160962299,0.5686880577452417,0.5257538063378048,0.6588677773127497,0.5265133236062307,0.41571428571428565,0.2842261904761905,0.3030952380952382,0.3872619047619047,0.32732142857142865,0.43565476190476193,0.3230952380952381,mean
5,6,0.6166666666666665,0.75,0.7166666666666667,0.6833333333333333,0.7416666666666668,0.6083333333333332,0.7083333333333333,0.7041728225810084,0.4911260968087262,0.5525808064715333,0.5870998764193776,0.5257538063378048,0.6997142206685074,0.5638600348361013,0.4507142857142858,0.3025595238095238,0.3498214285714286,0.39559523809523806,0.32732142857142865,0.480654761904762,0.3489880952380952,mean
6,7,0.664285714285714,0.7714285714285714,0.7357142857142855,0.7285714285714284,0.7642857142857142,0.6499999999999999,0.7214285714285712,0.7085105028406677,0.5181298021650612,0.5912785853942213,0.5870998764193776,0.5551113675829493,0.7124648885577519,0.5966094651177616,0.4590476190476191,0.32255952380952374,0.38315476190476194,0.39559523809523806,0.34732142857142867,0.4973214285714286,0.3902380952380952,mean
7,8,0.69375,0.8,0.75,0.75,0.78125,0.69375,0.75,0.7315551608568277,0.5181298021650612,0.6252988163188007,0.6052191230151036,0.5772082450883174,0.7124648885577519,0.6075552429167687,0.47738095238095235,0.32255952380952374,0.4114880952380952,0.4139285714285714,0.3656547619047619,0.4973214285714286,0.3985714285714286,mean
8,9,0.7166666666666667,0.8222222222222223,0.7777777777777778,0.7666666666666666,0.7944444444444445,0.7222222222222221,0.7555555555555556,0.752634248198888,0.5181298021650612,0.6252988163188007,0.6323823752330218,0.5917267426187849,0.7181857698341836,0.6563255453492717,0.4957142857142857,0.32255952380952374,0.4114880952380952,0.43059523809523814,0.38648809523809524,0.5035714285714286,0.44773809523809527,mean
9,10,0.7449999999999999,0.8300000000000003,0.795,0.7799999999999999,0.8150000000000001,0.7449999999999999,0.78,0.752634248198888,0.5300914548881833,0.6329407909820468,0.6475604010695724,0.5917267426187849,0.7275300887426115,0.6563255453492717,0.4957142857142857,0.3359523809523809,0.4214880952380953,0.44398809523809524,0.38648809523809524,0.511904761904762,0.44773809523809527,mean
10,11,0.7636363636363636,0.8363636363636363,0.8045454545454543,0.7909090909090908,0.8227272727272725,0.759090909090909,0.7863636363636363,0.7589140808320335,0.5451247454954399,0.6618199987090023,0.6615248140347467,0.6180985553768091,0.7416352826987366,0.6796931783034249,0.5019642857142858,0.3530952380952381,0.4414880952380953,0.4623214285714286,0.4031547619047619,0.528154761904762,0.4744047619047619,mean
11,12,0.7833333333333334,0.8458333333333334,0.8041666666666665,0.8083333333333332,0.8333333333333334,0.7749999999999999,0.8041666666666668,0.7589140808320335,0.5489204466826655,0.7001036408172101,0.6615248140347467,0.6231742036034598,0.7487860567052325,0.6796931783034249,0.5019642857142858,0.363095238095238,0.47696428571428573,0.4623214285714286,0.4114880952380953,0.5352976190476191,0.4744047619047619,mean
12,13,0.7961538461538465,0.8576923076923079,0.8115384615384617,0.8153846153846155,0.8307692307692308,0.7923076923076924,0.8153846153846155,0.7649373562436612,0.5489204466826655,0.7142101620488696,0.672321343537829,0.6545218397709011,0.7487860567052325,0.6839013403312145,0.5144642857142857,0.363095238095238,0.4932142857142857,0.476904761904762,0.44696428571428576,0.5352976190476191,0.4844047619047619,mean
13,14,0.8071428571428573,0.8678571428571429,0.8214285714285715,0.8214285714285715,0.8392857142857142,0.8035714285714286,0.8250000000000002,0.7741690853080501,0.5489204466826655,0.718547842308529,0.6849107481097796,0.6597169578759623,0.7693948591946252,0.6932456592396424,0.5244642857142857,0.363095238095238,0.501547619047619,0.4923809523809524,0.45946428571428577,0.5452976190476191,0.4927380952380952,mean
14,15,0.8200000000000003,0.8700000000000003,0.8266666666666668,0.8333333333333334,0.85,0.8099999999999999,0.8366666666666667,0.7741690853080501,0.5635020051919206,0.7398275309162488,0.6849107481097796,0.6597169578759623,0.7841411509502584,0.6932456592396424,0.5244642857142857,0.38142857142857134,0.5211904761904761,0.4923809523809524,0.45946428571428577,0.5598809523809524,0.4927380952380952,mean
15,16,0.821875,0.871875,0.8375,0.834375,0.85625,0.821875,0.846875,0.7936930869738701,0.5973349651634241,0.7398275309162488,0.7246494301167834,0.6631737178662839,0.7841411509502584,0.6932456592396424,0.5532142857142857,0.4064285714285714,0.5211904761904761,0.5190476190476192,0.4694642857142857,0.5598809523809524,0.4927380952380952,mean
16,17,0.8323529411764709,0.8735294117647061,0.847058823529412,0.8411764705882355,0.8647058823529413,0.8294117647058826,0.8558823529411766,0.7936930869738701,0.6297769952533426,0.7398275309162488,0.7406357562749808,0.6631737178662839,0.7880536693072288,0.6932456592396424,0.5532142857142857,0.4230952380952381,0.5211904761904761,0.5273809523809525,0.4694642857142857,0.5682142857142858,0.4927380952380952,mean
17,18,0.8361111111111115,0.8777777777777779,0.8527777777777781,0.8472222222222223,0.8722222222222223,0.8388888888888891,0.8638888888888889,0.8126454414859177,0.648473788348773,0.7505152633921878,0.7631926392936004,0.6631737178662839,0.7880536693072288,0.6932456592396424,0.571547619047619,0.4314285714285714,0.5295238095238095,0.5398809523809525,0.4694642857142857,0.5682142857142858,0.4927380952380952,mean
